author,updated_at,like_count,text,video_id,public,language,translated_text,is_relevant,char_count,word_count,sentence_count,TweetNLP,RoBERTa,BERT_NLP,Emotion,Vader
@jdlang2,2024-11-10T07:44:50Z,0,The movie had really slow pacing in the beginning but it gets better.,Et9cKWWZ0LM,True,en,The movie had really slow pacing in the beginning but it gets better.,True,69,13,1,0,1,0,joy,1
@BombadilBeardie,2025-06-07T11:08:00Z,0,Rumi summed it up,NC78S8jNy4g,True,en,Rumi summed it up,True,17,4,0,0,0,0,anticipation,0
@BIGTONKADAN9821,2017-08-04T00:19:11Z,1,"This guy is an idiot. he literally said no emotional drive, are u fucking kidding me. this movie is one of the best i have ever seen, it was the first movie to ever make me cry. i give it a 96/100",BHsFzDON6pA,True,en,"This guy is an idiot. he literally said no themotional drive, are you fucking kidding me. this movie is one of the best i have ever seen, it was the first movie to ever make me cry. i give it a 96/100",True,200,42,3,1,1,1,anger,-1
@apriswajaya,2014-12-08T22:34:49Z,0,"yeap, that is interstellar in a nutshell, if you want to ignore all the complicated physics and visual effects that came with the movie.",qhW1HfSuPVQ,True,en,"yeap, that is interstellar in a nutshell, if you want to ignore all the complicated physics and visual effects that came with the movie.",True,136,24,1,0,-1,-1,anticipation,-1
@natbrownizzle3815,2018-11-21T07:58:28Z,1012,"The Soundtrack of this movie, gets me everytime I watch it. Hans Zimmer created a sound, of absolute desaster and loneliness, as well as helplessness with tiny bits of hope in between.",t6kqaip7WS4,True,en,"The Soundtrack of this movie, gets me everytime I watch it. Hans Zimmer created a sound, of absolute desaster and loneliness, as well as helplessness with tiny bits of hope in between.",True,184,32,2,1,0,1,sadness,0
@dancash2277,2019-09-19T17:44:02Z,0,Awesome movie,NXhdt1R6TYE,True,en,Awesome movie,True,13,2,0,1,1,1,joy,1
@humans_being-k3j,2026-02-22T09:16:52Z,1,നോളൻ ചില്ലറപുള്ളി അല്ല 🙏🏻,VSuF_hK3qMI,True,ml,Nolan isn’t a petty guy 🙏🏻,True,26,6,0,0,1,-1,anger,-1
@AbzDahMan,2014-11-05T12:32:41Z,0,"Awesome, I'm gna check it out this weekend! Also Chris, can you please check out Avatar : The Last Airbender?",BHsFzDON6pA,True,en,"Awesome, I am gna check it out this weekend! Also Chris, can you please check out Avatar : The Last Airbender?",True,110,21,2,1,1,1,joy,1
@ravenvoldy7654,2020-07-02T02:01:18Z,1,The future people created 5th dimension in black hole,1w_DVgaDQ_g,True,en,The future people created 5th dimension in black hole,True,53,9,0,0,0,1,anticipation,1
@Hans_Hamon,2022-11-24T10:54:33Z,1,And… I am STILL confused. lol…,j3DuONZb3Ik,True,en,And… I am STILL confused. laughing out loud…,True,44,8,1,0,-1,1,joy,1
@KentckyFriedChildren,2024-10-11T19:46:18Z,0,"I didn't feel like it was too long, then again I didn't really feel like The Irishman was too long either. If a movie is good, you get so invested in it that you never even notice the length.",Et9cKWWZ0LM,True,en,"I did not feel like it was too long, then again I did not really feel like The Irishman was too long either. If a movie is good, you get so invested in it that you never even notice the length.",True,193,41,2,0,0,0,anticipation,-1
@SarahShang-p7q,2025-11-26T05:44:08Z,0,I hope that station they made was vaporized by aliens and they all wiped out That daughter was so annoying the hero guy was cool but the daughter and that station they belt I hope a starship fired photon torpoedo at it and blew it up,5I8YSiSp8rc,True,en,I hope that station they made was vaporized by aliens and they all wiped out That daughter was so annoying the hero guy was cool but the daughter and that station they belt I hope a starship fired photon torpoedo at it and blew it up,True,233,46,0,0,-1,-1,anger,1
@henno6207,2020-09-20T20:15:52Z,0,We do not invent the tesseract. We are it. It is a representation of the fundamental nature of reality. It is love.,t6kqaip7WS4,True,en,We do not invent the tesseract. We are it. It is a representation of the fundamental nature of reality. It is love.,True,115,22,4,0,1,1,joy,1
@WeimaranersAreTheBest,2021-10-21T02:46:00Z,1,Killer flick,j3DuONZb3Ik,True,sv,Killer flick.,True,13,2,1,0,0,-1,fear,-1
@ZackMoh-nd5bo,2025-03-17T18:59:49Z,0,Legend of a movie. Perfection in many ways!,Et9cKWWZ0LM,True,en,Legend of a movie. Perfection in many ways!,True,43,8,2,1,1,1,joy,1
@ingolfurarnar697,2021-09-19T01:39:45Z,0,I was shocked when I saw the blackhole scene for the first time because I had experieced a VERY similar thing on a powerful dmt trip. But I got to see a place (a kitchen) from another lifetime. And I saw it very much like the character in the movie.,t6kqaip7WS4,True,en,I was shocked when I saw the blackhole scene for the first time because I had experieced a VERY similar thing on a powerful dmt trip. But I got to see a place (a kitchen) from another lifetime. And I saw it very much like the character in the movie.,True,249,50,3,1,1,1,joy,1
@TheRealTrevorRichards,2024-09-18T09:03:34Z,0,Man I love this movie😢,CQpTKQloHuI,True,en,Man I love this movie😢,True,22,5,0,1,1,1,joy,1
@stephenmata1821,2024-04-23T17:40:01Z,0,"I saw this differently. I saw the loving those around us, individually, and working toward our self-interest actually does more for our family, community, country and world, than caring for all. We lose the focus when our aim is to all-encompassing ""Safe the World"" mission because the mission becomes more important than the individual. That is how communism has lead to the deaths of millions. It was for the greater cause.",kcVdY-PKHdk,True,en,"I saw this differently. I saw the loving those around us, individually, and working toward our self-interest actually does more for our family, community, country and world, than caring for all. We lose the focus when our aim is to all-encompassing ""Safe the World"" mission because the mission becomes more important than the individual. That is how communism has lead to the deaths of millions. It was for the greater cause.",True,425,71,5,0,-1,-1,optimism,1
@TheSuperappelflap,2018-08-15T15:35:00Z,0,Real explanation: the ending is sentimental bullshit that has no basis in any scientific theory. MUUUUUURPH!!!,NXhdt1R6TYE,True,en,Real explanation: the ending is sentimental bullshit that has no basis in any scientific theory. MUUUUUURPH!!!,True,110,16,2,0,-1,-1,anger,-1
@mangosnack,2014-11-09T16:33:46Z,0,anybody else noticed a squirrel when he was talking about the embryos? CONFIRMED: Squirrel Girl,qhW1HfSuPVQ,True,en,anybody else noticed a squirrel when he was talking about the thembryos? CONFIRMED: Squirrel Girl,True,97,15,1,0,0,-1,anticipation,0
@noppynorthside215,2017-04-21T09:12:05Z,0,pretty sure people will comment people who hate interstellar cant understand the movie,BHsFzDON6pA,True,en,pretty sure people will comment people who hate interstellar cant understand the movie,True,86,13,0,0,-1,1,anger,1
@mordierenokse,2018-01-18T10:07:57Z,0,What? Am I the only one who thinks this movie is utter garbage? Oh well..,BHsFzDON6pA,True,en,What? Am I the only one who thinks this movie is utter garbage? Oh well..,True,73,15,3,0,-1,-1,disgust,1
